title,genre,release_year,duration,description
"Pulp Fiction","Crime, Drama",1994,154,"The lives of two mob hitmen, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
"Forrest Gump","Drama, Romance",1994,142,"The presidencies of Kennedy and Johnson, the Vietnam War, and other history unfold through the perspective of an Alabama man with an IQ of 75."
"The Matrix","Action, Sci-Fi",1999,136,"A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers."
"The Shawshank Redemption","Drama",1994,142,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
"Avengers: Endgame","Action, Adventure, Drama",2019,181,"After the devastating events of Avengers: Infinity War, the universe is in ruins. With the help of remaining allies, the Avengers assemble once more."
"Joker","Crime, Drama, Thriller",2019,122,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He embarks on a downward spiral of revolution and bloody crime."
"The Dark Knight","Action, Crime, Drama",2008,152,"When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham."
"Fight Club","Drama",1999,139,"An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more."
"The Lord of the Rings: The Fellowship of the Ring","Action, Adventure, Drama",2001,178,"A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring."
"The Silence of the Lambs","Crime, Drama, Thriller",1991,118,"A young F.B.I. cadet must confide in an incarcerated and manipulative killer to receive his help on catching another serial killer."
"Schindler's List","Biography, Drama, History",1993,195,"In German-occupied Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce."
"Goodfellas","Biography, Crime, Drama",1990,146,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners."
"The Departed","Crime, Drama, Thriller",2006,151,"An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston."
"Gladiator","Action, Adventure, Drama",2000,155,"A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery."
"The Prestige","Drama, Mystery, Sci-Fi",2006,130,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have."
"Memento","Mystery, Thriller",2000,113,"A man with short-term memory loss attempts to track down his wife's murderer."
"The Lion King","Animation, Adventure, Drama",1994,88,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
"WALL·E","Animation, Adventure, Family",2008,98,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
"Up","Animation, Adventure, Comedy",2009,96,"78-year-old Carl sets out to fulfill his dream to see the wilds of South America by tying thousands of balloons to his house."
"Finding Nemo","Animation, Adventure, Comedy",2003,100,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
"Toy Story","Animation, Adventure, Comedy",1995,81,"A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room."
"Ratatouille","Animation, Adventure, Comedy",2007,111,"A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant."
"Coco","Animation, Adventure, Family",2017,105,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather."
"Inside Out","Animation, Adventure, Comedy",2015,95,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions—Joy, Fear, Anger, Disgust and Sadness—conflict on how best to navigate a new city, house, and school."
"Spirited Away","Animation, Adventure, Family",2001,125,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits."
"The Incredibles","Animation, Action, Adventure",2004,115,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world."
"Monsters, Inc.","Animation, Adventure, Comedy",2001,92,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters."
"Shrek","Animation, Adventure, Comedy",2001,90,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess."
"The Avengers","Action, Adventure, Sci-Fi",2012,143,"Earth's mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki."
"Guardians of the Galaxy","Action, Adventure, Comedy",2014,121,"A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe."
"Iron Man","Action, Adventure, Sci-Fi",2008,126,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil."
"Captain America: The First Avenger","Action, Adventure, Sci-Fi",2011,124,"Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a "Super-Soldier serum.""
"Thor","Action, Adventure, Fantasy",2011,115,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth)."
"Doctor Strange","Action, Adventure, Fantasy",2016,115,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts."
"Black Panther","Action, Adventure, Sci-Fi",2018,134,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people."
"Wonder Woman","Action, Adventure, Fantasy",2017,141,"When an American pilot crashes on the shores of her sheltered island paradise, Diana, an Amazonian warrior, learns of a conflict raging in the outside world."
"Aquaman","Action, Adventure, Fantasy",2018,143,"Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war."
"Joker","Crime, Drama, Thriller",2019,122,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He embarks on a downward spiral of revolution and bloody crime."
"Logan","Action, Drama, Sci-Fi",2017,137,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life until he meets a young mutant."
"Deadpool","Action, Adventure, Comedy",2016,108,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks."
"The Revenant","Action, Adventure, Drama",2015,156,"A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by his own hunting team."
"Her","Drama, Romance, Sci-Fi",2013,126,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
"The Grand Budapest Hotel","Adventure, Comedy, Crime",2014,99,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy."
"Gravity","Drama, Sci-Fi, Thriller",2013,91,"Two astronauts work together to survive after an accident leaves them stranded in space."
"The Social Network","Biography, Drama",2010,120,"The story of the founders of the social-networking website, Facebook."
"Coco","Animation, Adventure, Family",2017,105,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather."
"Mad Max: Fury Road","Action, Adventure, Sci-Fi",2015,120,"In a post-apocalyptic wasteland, Max teams up with a mysterious woman to flee from a cult leader and his army."
"Knives Out","Comedy, Crime, Drama",2019,130,"A detective investigates the death of a patriarch of an eccentric, combative family."
"La La Land","Comedy, Drama, Music",2016,128,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
"The Umbrella Academy","Action, Adventure, Comedy",2019,60,"A family of former child heroes, now grown apart, must reunite to continue to protect the world."
"13 Reasons Why","Drama, Mystery, Thriller",2017,60,"Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life."
"The Queen's Gambit","Drama",2020,60,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess."
"House of Cards","Drama",2013,51,"A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him."
"BoJack Horseman","Animation, Comedy, Drama",2014,25,"BoJack Horseman, a washed-up TV star, struggles with addiction, self-loathing, and relationships."
"Ozark","Crime, Drama, Thriller",2017,60,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
"Dark","Crime, Drama, Mystery",2017,53,"A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families."
"The Witcher","Action, Adventure, Drama",2019,60,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts."
"Narcos","Biography, Crime, Drama",2015,49,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar."
"The Crown","Drama, History",2016,58,"Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century."
"Black Mirror","Drama, Sci-Fi, Thriller",2011,60,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide."
"Breaking Bad","Crime, Drama, Thriller",2008,47,"A high school chemistry teacher turned methamphetamine manufacturer faces moral dilemmas and dangerous adversaries."
"Money Heist","Action, Crime, Thriller",2017,70,"To carry out the biggest heist in history, a criminal mastermind recruits a band of eight robbers who have a single characteristic: they are all the best at what they do."
"Stranger Things","Drama, Fantasy, Horror",2016,50,"When a young boy disappears, his mother, a police chief, and his friends must confront terrifying supernatural forces in order to get him back."
"The Irishman","Crime, Drama",2019,209,"An aging hitman recalls his possible involvement with the slaying of Jimmy Hoffa."
"Bird Box","Drama, Horror, Thriller",2018,124,"A mother and her two children must make it through a post-apocalyptic world blindfolded to avoid supernatural entities that cause people who look at them to go insane and commit suicide."
